room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2189086,3945988,Private room,,Back Bay,6,4.5,1,1.0,80.0,1.0,42.350461,-71.088381,2016-07-16 21:13:14.488089
13547391,49502551,Private room,,Fenway,0,,2,1.0,77.0,6.0,42.35069,-71.097828,2016-07-16 20:59:04.971953
13715257,32532791,Private room,,Fenway,0,,1,1.0,125.0,,42.350621,-71.095865,2016-07-16 20:52:07.763760
10860611,7845075,Private room,,Back Bay,0,,2,1.0,120.0,2.0,42.350294,-71.086072,2016-07-16 21:24:17.751213
9393163,47487818,Private room,,Fenway,1,,2,1.0,90.0,2.0,42.350763,-71.095259,2016-07-16 19:28:49.428128
8351880,25296328,Private room,,Back Bay,65,4.5,2,1.0,151.0,1.0,42.352024,-71.084691,2016-07-16 22:02:11.515524
4874201,25064382,Private room,,Charlestown,5,4.0,2,1.0,39.0,5.0,42.382698,-71.078803,2016-07-16 22:35:44.955367
7763582,25064382,Private room,,Charlestown,3,4.0,1,1.0,49.0,14.0,42.382962,-71.079125,2016-07-16 22:37:52.990942
6823017,19548932,Private room,,Allston,23,5.0,2,1.0,70.0,1.0,42.359052,-71.13062,2016-07-16 23:28:44.129475
1884045,9663343,Private room,,Roxbury,163,4.5,2,1.0,65.0,1.0,42.32657,-71.082798,2016-07-16 17:25:11.939020
8310807,28820575,Private room,,Roxbury,44,5.0,1,1.0,70.0,1.0,42.330878,-71.092984,2016-07-16 17:26:49.557503
8153848,28820575,Private room,,Roxbury,65,4.5,2,1.0,99.0,1.0,42.330872,-71.095257,2016-07-16 22:59:13.605366
1141888,6262335,Private room,,Fenway,31,4.5,3,1.0,149.0,1.0,42.342858,-71.087342,2016-07-16 23:05:04.606575
12901078,27871799,Private room,,Mattapan,5,5.0,2,1.0,50.0,1.0,42.276169,-71.078716,2016-07-16 22:14:07.451440
8371203,43078666,Private room,,Roxbury,7,5.0,1,1.0,90.0,1.0,42.316108,-71.074119,2016-07-16 18:06:57.269127
3359282,343563,Private room,,Dorchester,31,4.5,2,1.0,90.0,3.0,42.313091,-71.054354,2016-07-16 21:38:20.279592
7796658,2064438,Private room,,South End,10,4.5,2,1.0,125.0,1.0,42.34437,-71.065475,2016-07-16 19:52:14.615612
11796879,13649503,Private room,,South End,2,,2,1.0,90.0,1.0,42.343,-71.065944,2016-07-16 17:49:25.813535
9137386,1203849,Private room,,West End,1,,2,1.0,175.0,1.0,42.36419,-71.065828,2016-07-16 20:36:24.337066
13979354,34532779,Private room,,Dorchester,0,,4,1.0,72.0,,42.320759,-71.068611,2016-07-16 21:53:59.671000
12173918,65403081,Private room,,Beacon Hill,11,4.5,2,1.0,125.0,1.0,42.360876,-71.067803,2016-07-16 19:57:03.417195
6014737,25806655,Private room,,Dorchester,15,4.0,2,1.0,65.0,1.0,42.292522,-71.074686,2016-07-16 22:33:53.411583
3344322,9898255,Private room,,Dorchester,29,4.5,2,1.0,75.0,2.0,42.314003,-71.062862,2016-07-16 23:06:18.354419
8316068,43217109,Private room,,South End,8,4.5,2,1.0,110.0,2.0,42.336795,-71.076488,2016-07-16 21:19:19.802212
6194602,3103040,Private room,,South End,19,5.0,2,1.0,175.0,1.0,42.346037,-71.074262,2016-07-16 19:35:10.814943
11258721,16186589,Private room,,Dorchester,2,,1,1.0,35.0,10.0,42.304503,-71.07066,2016-07-16 23:19:12.498472
4828640,8625838,Private room,,Mattapan,52,4.5,2,1.0,60.0,1.0,42.27291,-71.069947,2016-07-16 22:46:54.659536
12904318,52601623,Private room,,Dorchester,0,,1,1.0,55.0,1.0,42.283584,-71.066951,2016-07-16 19:07:08.723920
7996844,690922,Private room,,Beacon Hill,28,4.5,2,1.0,130.0,2.0,42.356681,-71.071558,2016-07-16 18:47:00.455677
8696236,19470226,Private room,,West End,31,4.5,2,1.0,105.0,2.0,42.365427,-71.06773,2016-07-16 17:05:15.898381
12103501,16186589,Private room,,Dorchester,2,,1,1.0,34.0,10.0,42.304392,-71.070621,2016-07-16 17:30:10.381083
13091074,1416883,Private room,,Beacon Hill,4,4.5,2,1.0,120.0,2.0,42.360971,-71.068112,2016-07-16 18:01:53.944908
